C:\language\mdmdview\src\app.rs
  (557, 16, 557, 29, 125, 0)
  (816, 16, 816, 24, 0, 125)
  (853, 24, 853, 29, 1, 0)
  (896, 34, 896, 52, 0, 8)
  (1120, 16, 1120, 29, 5, 0)
  (1182, 24, 1182, 35, 1, 0)
  (1260, 16, 1263, 15, 0, 40)
  (1263, 19, 1266, 15, 0, 40)
  (1314, 28, 1314, 65, 3, 0)
  (1321, 31, 1321, 42, 1, 0)
  (1739, 24, 1739, 35, 2, 0)
  (1757, 24, 1757, 37, 2, 0)
  (1769, 38, 1769, 60, 19, 0)
  (1817, 12, 1817, 86, 1, 0)
  (1824, 12, 1824, 94, 1, 0)
  (1832, 12, 1832, 81, 1, 0)
  (1837, 12, 1837, 87, 1, 0)
  (1855, 24, 1855, 37, 0, 22)
  (2021, 12, 2021, 26, 19, 0)
  (2043, 30, 2043, 44, 18, 0)
  (2051, 12, 2051, 46, 0, 19)
  (2083, 20, 2083, 26, 1, 0)
  (2158, 55, 2158, 83, 1, 0)
  (2166, 28, 2166, 98, 1, 0)
  (2174, 52, 2174, 81, 1, 0)
  (2185, 40, 2185, 50, 1, 0)
  (2192, 40, 2192, 50, 6, 0)
  (2241, 44, 2241, 55, 2, 0)
  (2345, 41, 2345, 68, 1, 0)
  (2356, 16, 2356, 27, 3, 0)
  (2360, 16, 2360, 56, 2, 0)
  (2374, 16, 2374, 27, 0, 1)
  (2388, 23, 2388, 33, 3, 0)
  (2396, 20, 2396, 32, 3, 0)
  (2432, 24, 2432, 41, 0, 3)
  (2432, 45, 2432, 90, 0, 0)
  (2436, 77, 2436, 91, 0, 2)
  (2450, 12, 2450, 21, 3, 0)
  (2490, 16, 2490, 25, 2, 0)
  (2521, 16, 2521, 27, 2, 0)
  (2567, 37, 2567, 86, 2, 0)
  (2570, 16, 2570, 25, 3, 0)
  (2584, 31, 2584, 42, 3, 0)
  (2600, 20, 2600, 30, 6, 0)
  (2614, 33, 2614, 43, 5, 0)
  (2627, 16, 2627, 28, 10, 0)
  (3791, 16, 3791, 24, 1, 0)
  (3827, 16, 3827, 24, 1, 0)
  (5370, 16, 5370, 27, 1, 0)
  (5452, 16, 5452, 27, 1, 0)

C:\language\mdmdview\src\image_decode.rs
  (58, 8, 58, 35, 0, 10)
  (92, 18, 92, 24, 0, 5)
  (97, 24, 97, 36, 0, 4)

C:\language\mdmdview\src\markdown_renderer.rs
  (764, 16, 764, 24, 0, 270)
  (852, 28, 852, 59, 11, 0)
  (861, 28, 861, 43, 52, 0)
  (932, 32, 932, 63, 2, 0)
  (932, 67, 932, 101, 0, 2)
  (942, 32, 942, 47, 4, 0)
  (942, 51, 942, 71, 0, 4)
  (961, 24, 961, 34, 3992, 0)
  (1201, 15, 1201, 32, 9261, 0)
  (1524, 20, 1524, 37, 526, 0)
  (1593, 24, 1593, 42, 16, 0)
  (1820, 24, 1820, 42, 6, 0)
  (1932, 24, 1932, 87, 1506, 0)
  (2056, 12, 2056, 35, 1, 0)
  (2134, 16, 2134, 50, 15, 0)
  (2135, 20, 2135, 63, 15, 0)
  (2136, 20, 2136, 36, 15, 0)
  (2196, 36, 2196, 50, 1, 0)
  (2249, 40, 2249, 64, 2, 0)
  (2374, 27, 2374, 43, 107, 0)
  (2397, 27, 2397, 43, 407, 0)
  (2411, 36, 2411, 51, 130, 0)
  (2743, 28, 2743, 41, 4, 0)
  (2848, 20, 2848, 36, 0, 25)
  (2924, 16, 2924, 27, 9, 0)
  (2936, 12, 2936, 82, 1, 0)
  (2943, 12, 2943, 89, 1, 0)
  (2957, 16, 2957, 26, 3, 0)
  (2968, 12, 2968, 82, 1, 0)
  (2973, 12, 2973, 92, 1, 0)
  (2976, 12, 2976, 90, 1, 0)
  (2982, 12, 2982, 92, 1, 0)
  (3378, 32, 3378, 58, 2, 0)
  (3480, 56, 3480, 91, 1, 0)
  (3855, 27, 3855, 55, 0, 16)
  (3866, 48, 3866, 64, 1, 0)
  (3867, 20, 3867, 53, 0, 1)
  (3871, 27, 3871, 54, 1, 0)
  (3899, 32, 3899, 36, 10, 0)
  (3963, 28, 3963, 52, 15, 0)
  (4012, 36, 4012, 63, 8, 0)
  (4131, 24, 4131, 52, 16, 0)
  (4153, 41, 4153, 63, 16, 0)
  (4186, 28, 4186, 57, 16, 0)
  (4187, 28, 4187, 62, 16, 0)
  (4187, 66, 4187, 97, 16, 0)
  (4269, 37, 4269, 54, 5, 0)
  (4308, 31, 4308, 40, 1, 0)
  (4412, 24, 4412, 46, 3, 0)
  (4419, 16, 4419, 32, 2, 0)
  (4437, 20, 4437, 38, 1, 0)
  (4485, 32, 4485, 49, 0, 22)
  (4501, 36, 4501, 64, 0, 2)
  (4521, 16, 4521, 58, 1, 0)
  (4580, 12, 4580, 31, 16, 0)
  (4582, 16, 4582, 37, 16, 0)
  (4659, 37, 4659, 66, 0, 99)
  (4669, 16, 4669, 34, 1, 0)
  (4725, 12, 4725, 40, 0, 1)
  (4854, 9, 4854, 35, 0, 6)
  (5041, 20, 5041, 26, 13, 0)
  (5070, 12, 5070, 51, 11, 0)
  (5133, 16, 5133, 28, 0, 29)
  (5528, 13, 5528, 46, 1, 0)
  (5531, 13, 5531, 44, 1, 0)
  (5992, 65, 5992, 76, 1, 0)
  (5995, 67, 5995, 85, 1, 0)
  (5998, 69, 5998, 89, 1, 0)
  (6001, 74, 6001, 94, 1, 0)
  (6259, 20, 6259, 54, 4, 0)
  (6312, 24, 6312, 61, 1, 0)
  (6353, 24, 6353, 53, 1, 0)
  (6364, 24, 6364, 49, 1, 0)
  (6402, 39, 6402, 52, 1, 0)
  (6684, 73, 6684, 89, 1, 0)
  (6687, 68, 6687, 89, 1, 0)
  (6690, 45, 6690, 73, 1, 0)
  (7495, 15, 7495, 50, 0, 1)
  (7495, 54, 7495, 95, 0, 0)
  (7946, 16, 7946, 55, 1, 0)
  (7949, 67, 7949, 79, 1, 0)
  (8075, 57, 8075, 72, 1, 0)
  (8129, 64, 8129, 83, 1, 0)
